newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
4,6,1.0,7.0,Absolute value,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",21999
1,4,1.0,99.0,Second order,Differentiation,Partial Differentiation,3388
3,3,1.0,87.0,Logarithmic rule,Differentiation,Derivatives,10399
2,2,1.0,45.0,Sample,Statistics,,18
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,,9426
5,2,1.0,103.0,Direct inspection,Integration,Integration Techniques,19181
5,1,1.0,72.0,Cartesian equations of a line,Analytic Geometry,,19955
3,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14108
5,1,1.0,38.0,Independence,Probability ,,16645
4,3,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,7226
4,3,1.0,65.0,Cross product,Analytic Geometry,,11665
4,4,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,11827
1,1,1.0,85.0,Product rule,Differentiation,,32
4,3,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,7078
3,3,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,6342
1,1,1.0,85.0,Product rule,Differentiation,Derivatives,1877
3,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,18994
3,2,1.0,24.0,Imaginary part,Complex Numbers,,9178
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",13689
2,3,1.0,1.0,Trigonometric functions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",21158
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4886
3,1,1.0,157.0,Linear transformation,Linear Algebra,Linear Transformations,7611
1,2,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,3607
4,3,1.0,30.0,Complex plane ,Complex Numbers,,1036
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14537
4,3,1.0,153.0,Euclidean spaces,Linear Algebra,Vector Spaces,21414
3,4,1.0,102.0,Integration by parts,Integration,Integration Techniques,14664
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",1757
1,1,1.0,85.0,Product rule,Differentiation,Derivatives,19259
2,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,2380
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,8699
4,3,1.0,354.0,Five points rule,Numerical Methods,,18181
5,4,1.0,353.0,Three points rule,Numerical Methods,,18632
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,2591
1,4,1.0,265.0,First order,Differentiation,,17499
2,3,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17469
3,2,1.0,73.0,Cartesian equations of a plane,Analytic Geometry,,13867
3,4,1.0,86.0,Exponential rule,Differentiation,Derivatives,1873
2,4,1.0,3.0,Linear equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9786
2,1,1.0,368.0,Adjacent vertices,Graph Theory,,13487
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",457
3,3,1.0,224.0,Nonlinear equation,Numerical Methods,,13221
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",15913
5,4,1.0,15.0,Polygons,Fundamental Mathematics,,1840
5,6,1.0,23.0,Real part,Complex Numbers,,21443
4,1,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,5861
2,5,1.0,35.0,Sample space,Probability ,,15130
2,1,1.0,27.0,Polar representation,Complex Numbers,,16428
2,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,2204
1,1,1.0,75.0,Simple graph,Graph Theory,,19771
3,3,,157.0,Linear transformation,Linear Algebra,Linear Transformations,22576
4,1,1.0,128.0,Eigenvectors,Linear Algebra,Eigenvalues and Eigenvectors,11835
2,1,1.0,85.0,Product rule,Differentiation,Derivatives,14581
2,2,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,15014
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",13687
4,3,1.0,117.0,Matrix equation,Linear Algebra,Matrices and Determinants,14014
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",17763
3,5,1.0,265.0,First order,Differentiation,Partial Differentiation,22909
4,1,1.0,108.0,Cartesian coordinates,Integration,Double Integration,20577
