newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
3,1,1.0,157.0,Linear transformation,Linear Algebra,Linear Transformations,6720
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,13804
3,2,1.0,13.0,Polyhedrons,Fundamental Mathematics,,17074
5,4,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3016
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,9583
3,3,,85.0,Product rule,Differentiation,Derivatives,23187
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9790
1,1,1.0,101.0,Substitution,Integration,Integration Techniques,14787
2,3,,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,22359
3,1,1.0,121.0,Inverse of a matrix ,Linear Algebra,Matrices and Determinants,11900
3,2,1.0,80.0,Planar graph,Graph Theory,,7955
2,4,1.0,137.0,Square linear system,Linear Algebra,,9488
2,1,1.0,268.0,Lagrange's interpolation,Numerical Methods,,13202
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",20993
5,1,1.0,66.0,Orthogonality,Analytic Geometry,,12017
1,1,1.0,222.0,Bisection method,Numerical Methods,,18525
4,3,1.0,351.0,Jacobi method,Numerical Methods,,18033
5,2,1.0,101.0,Substitution,Integration,Integration Techniques,12042
3,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4857
1,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17382
3,4,1.0,85.0,Product rule,Differentiation,Derivatives,11029
3,4,1.0,102.0,Integration by parts,Integration,Integration Techniques,11022
2,2,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,21848
2,1,1.0,156.0,Linearity,Linear Algebra,,1511
3,1,1.0,161.0,Injective linear transformation,Linear Algebra,Linear Transformations,7583
2,5,1.0,23.0,Real part,Complex Numbers,,7974
5,4,1.0,15.0,Polygons,Fundamental Mathematics,,14646
1,1,1.0,199.0,Integral curve,Differential Equations,,19330
4,1,1.0,2.0,Exponential function,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14232
3,4,1.0,85.0,Product rule,Differentiation,Derivatives,14570
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,4661
2,3,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17365
2,5,1.0,33.0,Operations with complex numbers,Complex Numbers,,11983
2,1,1.0,8.0,Square roots,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",445
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5097
1,5,1.0,29.0,Nth root,Complex Numbers,,16754
2,5,1.0,265.0,First order,Differentiation,Partial Differentiation,22782
4,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,2593
3,3,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,11636
1,2,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,4222
2,1,1.0,88.0,Sum rule,Differentiation,Derivatives,13341
2,3,1.0,45.0,Sample,Statistics,,2129
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,6271
3,2,1.0,23.0,Real part,Complex Numbers,,16432
2,5,1.0,23.0,Real part,Complex Numbers,,21462
2,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,3178
2,1,1.0,8.0,Square roots,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14423
2,2,1.0,23.0,Real part,Complex Numbers,,21571
2,2,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,7286
2,2,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,18993
1,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17027
3,3,,72.0,Cartesian equations of a line,Analytic Geometry,,21720
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5596
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,20919
5,4,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6437
2,5,1.0,265.0,First order,Differentiation,Partial Differentiation,22895
2,3,1.0,139.0,Consistent system,Linear Algebra,Linear Systems,1291
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,1453
1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16661
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5545
5,4,1.0,148.0,Span,Linear Algebra,Vector Spaces,3001
4,5,1.0,42.0,Counting techniques,Probability ,,20458
2,4,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,8704
3,3,1.0,81.0,Tree,Graph Theory,,18690
5,4,1.0,148.0,Span,Linear Algebra,Vector Spaces,6569
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,6651
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,2602
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4512
3,4,1.0,24.0,Imaginary part,Complex Numbers,,21487
1,1,1.0,222.0,Bisection method,Numerical Methods,,18179
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,4084
1,1,1.0,16.0,Triangles,Fundamental Mathematics,,1424
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4898
