newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
3,4,1.0,85.0,Product rule,Differentiation,Derivatives,1926
3,3,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,12025
3,1,1.0,161.0,Injective linear transformation,Linear Algebra,Linear Transformations,5827
1,1,1.0,101.0,Substitution,Integration,Integration Techniques,14712
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3550
3,3,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,21832
3,1,,167.0,Simplex method,Optimization,Linear Optimization,23152
3,1,1.0,157.0,Linear transformation,Linear Algebra,Linear Transformations,7440
4,4,1.0,129.0,Spectrum,Linear Algebra,Eigenvalues and Eigenvectors,9194
3,1,1.0,161.0,Injective linear transformation,Linear Algebra,Linear Transformations,6230
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9797
5,2,1.0,103.0,Direct inspection,Integration,Integration Techniques,21659
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,22497
1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,,15749
2,1,1.0,103.0,Direct inspection,Integration,Integration Techniques,10810
4,3,1.0,353.0,Three points rule,Numerical Methods,,18125
3,4,1.0,356.0,Trapezoidal rule,Numerical Methods,,13015
5,3,1.0,182.0,Limits,Real Functions of a Single Variable,,714
3,2,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,4300
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,3107
5,4,1.0,148.0,Span,Linear Algebra,Vector Spaces,22440
4,2,1.0,128.0,Eigenvectors,Linear Algebra,,1031
3,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",17735
2,4,1.0,88.0,Sum rule,Differentiation,Derivatives,11173
3,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,4076
4,1,1.0,97.0,Gradient,Differentiation,,17500
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9593
4,2,1.0,353.0,Three points rule,Numerical Methods,,15583
3,2,1.0,27.0,Polar representation,Complex Numbers,,21564
3,2,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16144
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4754
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5555
3,2,1.0,5.0,Simplify expressions,Fundamental Mathematics,,2332
1,4,1.0,299.0,Arithmetic sequence,Discrete Mathematics,Recursivity,19807
3,1,1.0,161.0,Injective linear transformation,Linear Algebra,Linear Transformations,7387
4,3,1.0,150.0,Linear independence,Linear Algebra,Vector Spaces,22383
3,2,1.0,223.0,Newton?s method,Numerical Methods,,15556
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5107
5,2,1.0,167.0,Simplex method,Optimization,Linear Optimization,21895
3,2,1.0,202.0,Linear differential equation,Differential Equations,,14605
4,1,1.0,199.0,Integral curve,Differential Equations,,22866
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",13881
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3962
2,1,1.0,24.0,Imaginary part,Complex Numbers,,875
3,2,1.0,191.0,Domain,Real Functions of a Single Variable,"Domain, Image and Graphics",8895
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4699
2,1,,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,22663
3,4,1.0,24.0,Imaginary part,Complex Numbers,,20539
5,4,1.0,157.0,Linear transformation,Linear Algebra,Linear Transformations,22685
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,11208
3,3,1.0,127.0,Eigenvalues,Linear Algebra,,8088
3,2,1.0,27.0,Polar representation,Complex Numbers,,16632
1,1,1.0,103.0,Direct inspection,Integration,Integration Techniques,11021
1,2,1.0,119.0,Matrix condensation,Linear Algebra,Matrices and Determinants,10620
1,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,6497
2,2,1.0,268.0,Lagrange's interpolation,Numerical Methods,,15375
3,1,1.0,121.0,Inverse of a matrix ,Linear Algebra,Matrices and Determinants,10952
5,4,1.0,353.0,Three points rule,Numerical Methods,,18419
1,2,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6223
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5518
3,3,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,1471
5,4,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,22224
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",448
4,2,1.0,58.0,Hypothesis testing,Statistics,,12554
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16664
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",1279
4,3,1.0,148.0,Span,Linear Algebra,Vector Spaces,13829
2,5,1.0,33.0,Operations with complex numbers,Complex Numbers,,10407
4,2,1.0,353.0,Three points rule,Numerical Methods,,18629
1,1,1.0,103.0,Direct inspection,Integration,Integration Techniques,14760
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4684
5,4,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,12099
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4969
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14438
1,4,1.0,4.0,Quadratic equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",621
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9798
1,4,1.0,4.0,Quadratic equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",20910
4,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4099
5,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,11993
5,4,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,5924
1,4,1.0,265.0,First order,Differentiation,Partial Differentiation,22797
1,1,1.0,13.0,Polyhedrons,Fundamental Mathematics,Elementary Geometry,19694
3,3,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,10704
1,4,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,5967
1,2,1.0,119.0,Matrix condensation,Linear Algebra,Matrices and Determinants,22101
3,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17145
4,3,1.0,65.0,Cross product,Analytic Geometry,,2406
1,1,1.0,295.0,Definition,Integration,Surface Integrals,20892
4,2,1.0,58.0,Hypothesis testing,Statistics,,13539
3,1,1.0,167.0,Simplex method,Optimization,Linear Optimization,23135
5,4,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,7016
5,1,1.0,38.0,Independence,Probability ,,14845
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,5947
3,4,1.0,85.0,Product rule,Differentiation,Derivatives,11792
4,2,1.0,353.0,Three points rule,Numerical Methods,,17993
4,2,1.0,351.0,Jacobi method,Numerical Methods,,15608
3,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5039
1,4,1.0,3.0,Linear equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",11155
5,4,1.0,148.0,Span,Linear Algebra,Vector Spaces,6742
