newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",15740
1,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,16901
1,3,1.0,166.0,Linear programming,Optimization,,17270
1,2,1.0,64.0,Scalar product,Analytic Geometry,,11048
1,4,1.0,4.0,Quadratic equations,Fundamental Mathematics,,1342
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,2793
2,1,1.0,226.0,Two variables,Differentiation,,8623
1,1,1.0,147.0,Linear combination,Linear Algebra,Vector Spaces,6298
3,3,1.0,224.0,Nonlinear equation,Numerical Methods,,18102
3,2,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",20653
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,3062
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,20915
4,2,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5017
3,2,,99.0,Second order,Differentiation,Partial Differentiation,22918
3,1,1.0,104.0,Trigonometric substitution,Integration,Integration Techniques,4118
1,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,3732
5,4,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5731
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,4230
2,2,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,21787
1,1,1.0,380.0,Euler's method,Differential Equations,,8779
1,2,1.0,64.0,Scalar product,Analytic Geometry,,12011
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,4081
3,3,1.0,139.0,Consistent system,Linear Algebra,Linear Systems,1466
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,2696
3,3,1.0,87.0,Logarithmic rule,Differentiation,Derivatives,290
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,7522
2,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,3818
3,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,16889
2,2,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,21863
2,4,1.0,99.0,Second order,Differentiation,Partial Differentiation,12785
5,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,7185
1,1,1.0,222.0,Bisection method,Numerical Methods,,18475
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",805
3,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,6498
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",9507
3,2,1.0,269.0,Polynomial interpolation,Numerical Methods,,18589
4,2,1.0,2.0,Exponential function,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14505
4,4,1.0,85.0,Product rule,Differentiation,Derivatives,10802
5,4,1.0,222.0,Bisection method,Numerical Methods,,12960
4,4,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,8678
3,2,1.0,3.0,Linear equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",21235
1,1,1.0,101.0,Substitution,Integration,Integration Techniques,14738
4,4,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,17363
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,,1374
1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16800
2,5,1.0,265.0,First order,Differentiation,Partial Differentiation,22928
3,2,1.0,269.0,Polynomial interpolation,Numerical Methods,,18617
4,4,1.0,27.0,Polar representation,Complex Numbers,,20208
1,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,22087
1,4,1.0,4.0,Quadratic equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",11181
4,4,1.0,118.0,Rank,Linear Algebra,Matrices and Determinants,14892
1,1,1.0,222.0,Bisection method,Numerical Methods,,13295
3,3,1.0,16.0,Triangles,Fundamental Mathematics,,14603
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4819
4,2,1.0,41.0,Conditional probability,Probability ,,13454
1,2,1.0,119.0,Matrix condensation,Linear Algebra,Matrices and Determinants,19420
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16257
3,4,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17325
5,1,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,17340
2,2,1.0,158.0,Matrix of a linear transformation,Linear Algebra,Linear Transformations,4028
3,1,1.0,166.0,Linear programming,Optimization,Linear Optimization,21877
1,2,1.0,116.0,Matrix operations,Linear Algebra,Matrices and Determinants,21201
4,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,7682
4,4,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,6754
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,2624
1,1,1.0,147.0,Linear combination,Linear Algebra,Vector Spaces,3054
3,1,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,20678
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,3815
2,1,1.0,116.0,Matrix operations,Linear Algebra,Matrices and Determinants,21087
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,2872
2,3,1.0,167.0,Simplex method,Optimization,Linear Optimization,18886
4,3,1.0,103.0,Direct inspection,Integration,Integration Techniques,12052
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,4935
2,1,1.0,356.0,Trapezoidal rule,Numerical Methods,,8416
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5177
2,1,1.0,322.0,Trace of a matrix,Linear Algebra,Eigenvalues and Eigenvectors,11834
3,1,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,7099
4,4,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,11826
4,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5517
2,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,7514
1,2,1.0,116.0,Matrix operations,Linear Algebra,Matrices and Determinants,12330
3,2,1.0,151.0,Basis,Linear Algebra,Vector Spaces,4596
4,3,1.0,269.0,Polynomial interpolation,Numerical Methods,,18478
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,4630
2,3,1.0,1.0,Trigonometric functions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16046
3,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14102
1,2,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17327
3,4,1.0,356.0,Trapezoidal rule,Numerical Methods,,15513
3,1,1.0,2.0,Exponential function,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",11147
5,3,1.0,281.0,Binary relation,Discrete Mathematics,Set Theory,17855
1,2,1.0,275.0,Triple integration,Integration,Triple Integration,15758
3,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6224
4,3,1.0,352.0,Gauss-Seidel method,Numerical Methods,,18586
4,3,1.0,352.0,Gauss-Seidel method,Numerical Methods,,8670
3,1,1.0,157.0,Linear transformation,Linear Algebra,Linear Transformations,3455
3,1,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,10017
3,2,1.0,27.0,Polar representation,Complex Numbers,,737
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,3983
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",15958
2,3,1.0,35.0,Sample space,Probability ,,15129
5,4,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,22553
5,4,1.0,15.0,Polygons,Fundamental Mathematics,Elementary Geometry,10819
3,2,1.0,11.0,Classification of geometric solids,Fundamental Mathematics,,1385
3,4,1.0,269.0,Polynomial interpolation,Numerical Methods,,13529
1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",14422
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,10270
4,1,1.0,121.0,Inverse of a matrix ,Linear Algebra,Matrices and Determinants,10511
3,4,1.0,103.0,Direct inspection,Integration,Integration Techniques,11018
2,2,1.0,268.0,Lagrange's interpolation,Numerical Methods,,13124
4,1,1.0,138.0,Solution of a linear system,Linear Algebra,Linear Systems,2626
2,3,1.0,166.0,Linear programming,Optimization,,17212
5,3,1.0,202.0,Linear differential equation,Differential Equations,,8599
3,2,1.0,27.0,Polar representation,Complex Numbers,,1136
5,3,1.0,359.0,Least squares method,Numerical Methods,,8615
3,3,1.0,223.0,Newton?s method,Numerical Methods,,8603
3,2,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,8146
4,4,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,7229
1,4,1.0,317.0,Rearranging equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",20783
2,1,1.0,8.0,Square roots,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",458
2,1,1.0,101.0,Substitution,Integration,Integration Techniques,14741
4,4,,147.0,Linear combination,Linear Algebra,Vector Spaces,22443
5,3,1.0,201.0,Homogeneous equation,Differential Equations,,8311
1,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,9951
4,2,1.0,99.0,Second order,Differentiation,,17506
4,3,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6749
3,1,1.0,104.0,Trigonometric substitution,Integration,Integration Techniques,8686
4,1,1.0,121.0,Inverse of a matrix ,Linear Algebra,Matrices and Determinants,11113
1,4,1.0,3.0,Linear equations,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16565
4,3,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,5801
1,1,1.0,340.0,Monotonicity of a function,Real Functions of a Single Variable,,16509
2,3,1.0,166.0,Linear programming,Optimization,,17033
5,2,1.0,167.0,Simplex method,Optimization,Linear Optimization,21875
1,1,1.0,148.0,Span,Linear Algebra,Vector Spaces,4848
5,1,1.0,202.0,Linear differential equation,Differential Equations,,35
2,1,1.0,146.0,Vector subspace,Linear Algebra,Vector Spaces,4139
5,4,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6386
3,1,1.0,161.0,Injective linear transformation,Linear Algebra,Linear Transformations,6149
4,1,1.0,128.0,Eigenvectors,Linear Algebra,Eigenvalues and Eigenvectors,11637
1,1,1.0,88.0,Sum rule,Differentiation,Derivatives,12901
4,3,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,8156
