newLevel,algorithmLevel,checked,keyword_id,keyword_name,topic_name,subtopic_name,Identifiant
3,1,1.0,127.0,Eigenvalues,Linear Algebra,Eigenvalues and Eigenvectors,11631
2,1,1.0,268.0,Lagrange's interpolation,Numerical Methods,,18351
2,5,1.0,137.0,Square linear system,Linear Algebra,,17492
2,1,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,5255
5,1,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,16891
4,3,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,10297
1,3,,177.0,Minimum,Optimization,Nonlinear Optimization,21887
1,1,1.0,222.0,Bisection method,Numerical Methods,,17892
3,1,1.0,176.0,Optimal solution,Optimization,Nonlinear Optimization,21856
4,3,1.0,353.0,Three points rule,Numerical Methods,,18037
1,2,1.0,111.0,Iterate integrals,Integration,,8046
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,5380
3,4,,119.0,Matrix condensation,Linear Algebra,Matrices and Determinants,22562
1,2,1.0,118.0,Rank,Linear Algebra,Matrices and Determinants,854
4,3,,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,22321
2,5,1.0,265.0,First order,Differentiation,Partial Differentiation,22775
4,5,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,17377
2,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,1460
3,2,1.0,191.0,Domain,Real Functions of a Single Variable,"Domain, Image and Graphics",20433
2,5,1.0,139.0,Consistent system,Linear Algebra,Linear Systems,10310
0,1,0.0,85.0,Product rule,Differentiation,Derivatives,14528
2,2,1.0,177.0,Minimum,Optimization,,16984
1,1,1.0,231.0,Domain,Real Functions of Several Variables,,13453
4,3,1.0,352.0,Gauss-Seidel method,Numerical Methods,,15578
2,4,1.0,85.0,Product rule,Differentiation,Derivatives,14526
1,1,1.0,147.0,Linear combination,Linear Algebra,Vector Spaces,3746
4,2,,166.0,Linear programming,Optimization,Linear Optimization,23157
2,2,1.0,114.0,Matrix multiplication,Linear Algebra,Matrices and Determinants,14061
2,3,1.0,177.0,Minimum,Optimization,Nonlinear Optimization,18985
2,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,,1175
3,1,1.0,15.0,Polygons,Fundamental Mathematics,,15892
1,1,1.0,75.0,Simple graph,Graph Theory,,23212
2,5,1.0,24.0,Imaginary part,Complex Numbers,,16761
2,1,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,4688
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,10505
2,1,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",10672
4,6,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16045
5,3,1.0,121.0,Inverse of a matrix ,Linear Algebra,Matrices and Determinants,14077
3,3,,156.0,Linearity,Linear Algebra,Linear Transformations,22604
3,1,1.0,104.0,Trigonometric substitution,Integration,Integration Techniques,19200
1,3,1.0,166.0,Linear programming,Optimization,,18938
2,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,6890
3,2,1.0,80.0,Planar graph,Graph Theory,,10423
1,2,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,3589
3,1,1.0,223.0,Newton?s method,Numerical Methods,,17973
4,2,1.0,116.0,Matrix operations,Linear Algebra,Matrices and Determinants,20956
4,1,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,12416
1,2,1.0,159.0,Kernel,Linear Algebra,Linear Transformations,6695
1,4,1.0,5.0,Simplify expressions,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities",16379
1,1,1.0,151.0,Basis,Linear Algebra,Vector Spaces,11921
2,4,1.0,139.0,Consistent system,Linear Algebra,Linear Systems,10304
1,5,1.0,137.0,Square linear system,Linear Algebra,Linear Systems,10273
1,2,1.0,156.0,Linearity,Linear Algebra,Linear Transformations,6811
3,2,1.0,27.0,Polar representation,Complex Numbers,,919
